Date,MSFT,AAPL,NVDA,AMZN,GOOGL,META,GOOG,CVX,TSLA,LLY,UNH,AVGO,JPM,V,XOM,JNJ,HD,MA,PG,COST,MRK,ABBV,ADBE,CRM,AMD
2021-07-02,3.337663266456132e-07,1.686059855532897e-07,3.3311933112480275e-07,6.105307312063354e-08,3.1201829995127465e-08,3.849150612910163e-07,1.3365731325036647e-08,-1.8663661491784912e-07,1.9878117342765357e-07,-5.218925808619951e-07,3.1621358499434757e-07,1.8557241147248665e-07,-1.975132706481162e-07,9.624152197430176e-08,3.6073480119509224e-08,-1.0606225009619947e-07,1.6645225534429337e-06,5.660414688172847e-07,-6.839035850342238e-08,1.9743674816987266e-06,2.6375735070252547e-07,-3.2097244886027676e-07,5.5824018306808326e-06,5.11399049384588e-07,2.4813676226235395e-07
2021-07-06,2.8959759120984044e-07,1.2557419662770015e-07,4.356485826081521e-07,7.737480814989567e-08,1.1870164884920578e-07,6.141679609086703e-07,1.1363869143069061e-07,-2.398987379199941e-07,1.3941192271697886e-07,2.2088691298746952e-06,1.454145887014487e-06,-1.4505777273804942e-07,-2.3264002398079396e-07,3.5631251468279316e-07,1.1050908532155309e-07,2.6898173865187827e-07,1.7436680064191578e-06,9.357210862806996e-07,1.3840005750905464e-07,2.67270433653109e-06,3.984010100854122e-07,-3.7870486236292973e-08,5.486706923341959e-06,8.094420647411006e-07,3.2090603795629893e-07
2021-07-07,2.1661250107230498e-07,8.175380848809324e-08,3.329246098881861e-07,6.39406282063539e-08,1.1581936469499752e-07,3.524476001847621e-07,1.2674153041839372e-07,-3.6271620022294345e-07,9.708488278518564e-08,1.3188923849717174e-06,1.0632972382060998e-06,-3.8637572480505e-07,-1.7503339210397596e-07,2.92987681788289e-07,-5.100494855452004e-08,2.5780695284610953e-07,1.033446308124338e-06,9.557494084137077e-07,1.2137540359379555e-07,1.8620720382552592e-06,5.245917091651245e-07,3.9871649122541195e-08,4.3278615995775365e-06,2.898359698771364e-07,3.526152454790942e-07
2021-07-08,3.589346050893924e-07,1.0977349907477748e-07,3.4706151369753287e-07,8.694552954714988e-08,1.730190215627823e-07,2.8695435467979204e-07,1.9239100877819029e-07,-8.104037934658931e-07,1.340356243528765e-07,1.7516678461203877e-06,1.2522071536267576e-06,-2.0261815798786137e-07,-8.349339646588979e-08,6.901207172750852e-07,-2.811808599506607e-07,4.752621074861782e-07,1.8902637924385986e-06,4.959951450062012e-07,3.1544636707969324e-07,2.343463246447288e-06,4.5655911019799676e-07,1.18633906523601e-07,5.1665053440893665e-06,4.7353631306391627e-07,2.429969765387139e-07
2021-07-09,3.1627127222805406e-07,9.526485972854e-08,2.3343641253737976e-07,8.9345840126313e-08,1.4866812987823453e-07,3.05469854188981e-07,1.3998840496008496e-07,-7.413733993828084e-07,1.160081868340662e-07,3.047815455574966e-06,1.5730858166143907e-06,6.369748548812038e-07,-1.9124423876934785e-07,4.779482490367065e-07,-3.2625044664717846e-07,4.913485879009923e-07,1.4209944467430865e-06,6.233052457890568e-07,4.1701269678818955e-07,3.2705655071694705e-06,2.3463464031817133e-07,1.7974374413693865e-07,6.241320708292833e-06,2.726616846704334e-07,2.631934851620415e-07
2021-07-12,2.730828856068944e-07,1.0118043366357e-07,2.517082548078699e-07,8.796960026128407e-08,1.664224356379887e-07,3.1751309241217394e-07,1.6781339620345022e-07,-3.270235767909437e-07,1.20245656328032e-07,1.427090047214835e-06,1.786812259789754e-06,1.13946878115665e-06,1.9294874039105044e-07,4.847630833023044e-07,-6.103791731145188e-08,4.479403444935576e-07,2.4187400719821123e-06,6.39675770777611e-07,3.8139777229586123e-07,3.115478773675091e-06,1.6383357879658214e-07,3.031349749867247e-07,4.492816046825442e-06,6.117111862382824e-08,2.1252777120468104e-07
2021-07-13,3.6425112262834465e-07,1.410479158124173e-07,3.122199495205126e-07,1.2916937447023618e-07,3.2347361299830747e-07,7.115322116450509e-07,2.3484025664184939e-07,1.225667141658154e-07,1.2868776234804563e-07,2.727929560147507e-06,2.4439911839413205e-06,1.448443515617834e-06,3.417431768408578e-07,4.618230614240813e-07,5.845318289559313e-08,5.905492483314993e-07,2.506808657827087e-06,8.365532080227159e-07,5.685562555279739e-07,2.84544085017045e-06,1.1066090441414413e-07,4.892876633381066e-07,3.607635183538171e-06,9.554542261694578e-09,2.550958830763093e-07
2021-07-14,2.674958422096043e-07,1.0000427829657913e-07,3.402588422223594e-07,8.408873428160866e-08,2.3591177217009975e-07,5.201332707286965e-07,2.1601988593064553e-07,-2.9668441391055735e-07,1.2217937088090642e-07,2.873390586055252e-06,1.7438067977108624e-06,3.53680371608705e-06,1.5305660786567325e-07,4.2416784994378523e-07,-1.5932912795680947e-07,7.064746549562673e-07,9.559293166416163e-07,5.515397952282079e-07,5.22999314554295e-07,3.4005399646846106e-06,1.7329981872077268e-07,4.237917380351976e-07,4.623769966050153e-06,-2.808307089888914e-08,3.0581428999108133e-07
2021-07-15,2.7701197939553664e-07,8.911856088208325e-08,1.329947845830758e-07,7.625450633509293e-08,2.033659758382067e-07,1.8256902042433533e-07,2.23447087163978e-07,-4.5174294877684874e-07,7.32710161077679e-08,3.201104139292585e-06,1.1376157993165503e-06,2.6322275070452255e-06,2.23537845489058e-07,4.904849849663877e-07,-3.095526928482854e-07,6.743534929732161e-07,6.156269841186282e-07,8.151910723263565e-07,6.184094346776878e-07,3.5796237406530676e-06,2.6201796277438243e-07,3.544176638001651e-07,4.174152614448916e-06,-4.3871580670625256e-08,2.3283452402490142e-07
2021-07-16,2.6283259419174223e-07,1.0348781261352591e-07,-8.672969687779902e-09,5.706625319587872e-08,1.6492697343732016e-07,7.68700358053102e-08,2.2908293204061402e-07,-4.838512309943218e-07,-1.4997383859850966e-08,1.8329273144678572e-06,1.7457268123319481e-06,1.8128980794188764e-06,2.4887971154622767e-07,5.831397977316183e-07,-5.213081227493672e-07,5.301984398508145e-07,1.3603444456938226e-06,1.0661269902054941e-06,6.370289545474398e-07,2.673652191052154e-06,4.359414671782722e-07,6.137996637566739e-07,3.437508050231265e-06,-2.226187294580534e-07,9.527181888076391e-08
2021-07-19,2.0132424476851238e-07,1.0433518555440473e-07,-7.902285194604474e-08,4.4651098677592866e-08,1.7866140757584612e-07,-5.338326345947529e-08,2.4134030375892135e-07,-6.518684961241838e-07,-1.0662515060333367e-07,-9.82055301573585e-08,1.9891282139237715e-06,-3.0282413110361633e-07,-2.8095355626550332e-08,5.797198429996377e-07,-4.1255203574355373e-07,4.961996298960558e-07,8.583970731238417e-07,1.2196068508693584e-06,6.02454949915431e-07,3.3011745230026447e-06,2.8460996446810326e-07,3.523886683487447e-07,3.852474464193075e-06,-3.005713709912418e-07,-6.801355802218136e-09
2021-07-20,1.373648839464377e-07,5.7782133576538376e-08,-1.7624927247712543e-08,5.753448501275922e-08,6.040023030270512e-08,-9.008842003526768e-08,6.918733014234647e-08,-6.078918024106778e-07,-5.975311536652165e-08,7.385141975352515e-07,2.810446288384158e-07,5.025823351343444e-07,-2.072760674634371e-07,1.1347130681016538e-07,-3.79213591967615e-07,1.9781324967401472e-07,4.4522608255010655e-07,-5.473904033671866e-07,4.286749502911545e-07,2.171001439028608e-06,-1.9764065235782654e-08,3.193832627197745e-07,1.8873310963139744e-06,-2.0197672608796744e-07,2.8570211886241866e-08
